PO_NUMBER,STATUS,SUPPLIER,ATTACHMENTS_FOUND,ATTACHMENTS_DOWNLOADED,LAST_PROCESSED,ERROR_MESSAGE,DOWNLOAD_FOLDER,COUPA_URL
PO15262984,COMPLETED,ERNST_AND_YOUNG_LLP-0001118312,2,2,2025-07-28 12:43:11,,ERNST_AND_YOUNG_LLP-0001118312/,https://unilever.coupahost.com/order_headers/15262984
PO15327452,COMPLETED,ERNST_AND_YOUNG_LLP-0001118312,2,2,2025-07-28 12:43:22,,ERNST_AND_YOUNG_LLP-0001118312/,https://unilever.coupahost.com/order_headers/15327452
PO15362783,COMPLETED,ERNST_AND_YOUNG_LLP-0001118312,1,1,2025-07-28 12:43:30,,ERNST_AND_YOUNG_LLP-0001118312/,https://unilever.coupahost.com/order_headers/15362783
PO15421343,COMPLETED,Ernst_and_Young_LLP-0000337414,1,1,2025-07-28 12:43:40,,Ernst_and_Young_LLP-0000337414/,https://unilever.coupahost.com/order_headers/15421343
PO15471563,COMPLETED,ERNST_AND_YOUNG_LLP-0001118312,1,1,2025-07-28 12:43:50,,ERNST_AND_YOUNG_LLP-0001118312/,https://unilever.coupahost.com/order_headers/15471563
PO15495542,NO_ATTACHMENTS,,0,0,2025-07-28 13:25:02,,,https://unilever.coupahost.com/order_headers/15495542
PO15636776,COMPLETED,Ernst_and_Young_LLP-0000337414,1,1,2025-07-28 12:44:02,,Ernst_and_Young_LLP-0000337414/,https://unilever.coupahost.com/order_headers/15636776
PO15703120,NO_ATTACHMENTS,,0,0,2025-07-28 13:25:03,,,https://unilever.coupahost.com/order_headers/15703120
PO15703149,NO_ATTACHMENTS,,0,0,2025-07-28 13:25:03,,,https://unilever.coupahost.com/order_headers/15703149
PO15723444,COMPLETED,ERNST_AND_YOUNG_LLP-0001016941,2,2,2025-07-28 12:44:14,,ERNST_AND_YOUNG_LLP-0001016941/,https://unilever.coupahost.com/order_headers/15723444
