PO_NUMBER,STATUS,SUPPLIER,ATTACHMENTS_FOUND,ATTACHMENTS_DOWNLOADED,LAST_PROCESSED,ERROR_MESSAGE,DOWNLOAD_FOLDER,COUPA_URL
PO15262984,FAILED,,0,0,2025-07-28 01:18:49,Login required,,https://unilever.coupahost.com/order_headers/15262984
PO15327452,COMPLETED,ERNST_AND_YOUNG_LLP-0001118312,2,2,2025-07-28 01:19:52,,ERNST_AND_YOUNG_LLP-0001118312/,https://unilever.coupahost.com/order_headers/15327452
PO15362783,COMPLETED,ERNST_AND_YOUNG_LLP-0001118312,1,1,2025-07-28 01:20:04,,ERNST_AND_YOUNG_LLP-0001118312/,https://unilever.coupahost.com/order_headers/15362783
PO15421343,PENDING,,0,0,,,,
PO15471563,PENDING,,0,0,,,,
PO15495542,PENDING,,0,0,,,,
PO15636776,PENDING,,0,0,,,,
PO15703120,PENDING,,0,0,,,,
PO15703149,PENDING,,0,0,,,,
PO15723444,PENDING,,0,0,,,,
PO15725717,PENDING,,0,0,,,,
PO15745961,PENDING,,0,0,,,,
PO15756739,PENDING,,0,0,,,,
PO15773540,PENDING,,0,0,,,,
PO15787315,PENDING,,0,0,,,,
PO15788264,PENDING,,0,0,,,,
PO15826392,PENDING,,0,0,,,,
PO15826591,PENDING,,0,0,,,,
PO15873456,PENDING,,0,0,,,,
PO15891007,PENDING,,0,0,,,,
